name,category,count_reviews,score,release_date,developer,popular_tags,price_without_black_friday,price_black_friday,game_area_platform
Citizen Sleeper,"Adventure Games,Fellow Traveller Franchise","2,291",Overwhelmingly Positive,"5 May, 2022",Jump Over The Age,"Cyberpunk,RPG,Choices Matter,Futuristic,Exploration,Tabletop,Choose Your Own Adventure,Interactive Fiction,Text-Based,Conversation,Story Rich,3D,Multiple Endings,Sci-fi,Hand-drawn,Space,Artificial Intelligence,Atmospheric,Singleplayer,Narrative",435 pуб.,"884,70 pуб.",mac win 
Space Haven,Simulation Games,"5,787",Very Positive,"21 May, 2020",Bugbyte Ltd.,"Base Building,Space,Colony Sim,Simulation,Strategy,Survival,Sci-fi,Sandbox,Management,City Builder,Resource Management,Indie,Building,Exploration,Open World,Early Access,Space Sim,Singleplayer,Pixel Graphics,Crafting",449 pуб.,"1033,20 pуб.",mac win linux
Death and Taxes,"Indie Games,Placeholder Gameworks Franchise","3,000",Very Positive,"20 Feb, 2020",Placeholder Gameworks,"Simulation,Strategy,Point & Click,Story Rich,Choices Matter,Puzzle,Casual,Choose Your Own Adventure,Replay Value,Multiple Endings,Interactive Fiction,Adventure,Narrative,Atmospheric,Dark Comedy,Indie,2D,Conversation,Character Customization,Singleplayer",Free Demo,119 pуб.,mac win linux
Five Nights at Freddy's,Indie Games,"31,122",Very Positive,"18 Aug, 2014",Scott Cawthon,"Horror,Singleplayer,Survival Horror,Robots,Psychological Horror,Difficult,Indie,First-Person,Point & Click,Dark,Survival,Atmospheric,Mouse only,Supernatural,Resource Management,Silent Protagonist,Jump Scare,Lore-Rich,Short,Historical",133 pуб.,,win 
Assetto Corsa - Dream Pack 3,"Indie Games,Assetto Corsa Official Franchise,Assetto Corsa,Downloadable Content",173,Very Positive,"15 Dec, 2015",Kunos Simulazioni,"Racing,Sports,Simulation,Indie",175 pуб.,"992,50 pуб.",win 
FlatOut 4: Total Insanity,Racing Games,"1,439",Mixed,"4 Apr, 2017",Kylotonn,"Racing,Automobile Sim,Multiplayer,Destruction,Action,Arcade,Driving,Singleplayer,Physics,Open World",51 pуб.,99 pуб.,win 
ASTLIBRA Revision,Action Games,"5,327",Overwhelmingly Positive,"13 Oct, 2022",KEIZO,"2D,Action RPG,Side Scroller,JRPG,Spectacle fighter,Metroidvania,Drama,Time Travel,Fantasy,RPG,Dragons,Action,Swordplay,Demons,Gothic,Futuristic,Modern,Mythology,Adventure,Supernatural",465 pуб.,,win 
Dorfromantik,Strategy Games,"19,237",Overwhelmingly Positive,"28 Apr, 2022",Toukana Interactive,"City Builder,Simulation,Puzzle,Indie,Strategy,Turn-Based Strategy,Turn-Based Tactics,Open World,Relaxing,Sandbox,Board Game,Singleplayer,Family Friendly,Controller,Casual,Minimalist,3D,Procedural Generation,Hand-drawn,Stylized",309 pуб.,"914,40 pуб.",win 
Little Inferno,"Indie Games,Tomorrow Corporation Franchise","6,362",Overwhelmingly Positive,"19 Nov, 2012",Tomorrow Corporation,"Casual,Indie,Singleplayer,Puzzle,Satire,Funny,Comedy,Short,Great Soundtrack,Adventure,Dark Humor,Sandbox,Atmospheric,Story Rich,Dark,Touch-Friendly,2D,Point & Click,Surreal,Parody",360 pуб.,"1687,50 pуб.",mac win linux
Darkest Dungeon®,RPG Games,"103,191",Very Positive,"19 Jan, 2016",Red Hook Studios,"Turn-Based Combat,Dark Fantasy,Dungeon Crawler,Roguelike,RPG,Lovecraftian,Difficult,Turn-Based,Singleplayer,Perma Death,Strategy,Atmospheric,Dark,Indie,2D,Roguelite,Horror,Gothic,Fantasy,Kickstarter",449 pуб.,"1063,80 pуб.",mac win linux
The Stanley Parable: Ultra Deluxe,Adventure Games,"16,624",Very Positive,"27 Apr, 2022",Crows Crows Crows,"Multiple Endings,Comedy,Choices Matter,Walking Simulator,First-Person,Singleplayer,Narration,Funny,3D,Exploration,Adventure,Psychological Horror,Story Rich,Casual,Emotional,Mystery,Atmospheric,Horror,Game Development,Dark Humor",465 pуб.,,mac win linux
Drive//Shaft,Sports Games,56,Mixed,"30 Nov, 2017",Spotted Zebra Software LLC,"Action,Indie,Racing,Sports,Multiplayer",30 pуб.,,win 
Counter-Strike,Action Games,"129,345",Overwhelmingly Positive,"1 Nov, 2000",Valve,"Action,FPS,Multiplayer,Shooter,Classic,Team-Based,First-Person,Competitive,Tactical,eSports,1990's,PvP,Old School,Military,Strategy,Survival,Score Attack,1980s,Assassin,Nostalgia",259 pуб.,"2240,10 pуб.",mac win linux
StarDrive,Strategy Games,"1,212",Mixed,"26 Apr, 2013",Zero Sum Games,"Strategy,4X,Space,Indie,Sci-fi,RTS,Singleplayer,Real-Time,Exploration",499 pуб.,,win 
Drive Isle,Racing Games,80,Mixed,"15 Aug, 2017",Roadfactory,"Racing,Simulation,Early Access,Open World",82 pуб.,,win 
World War 3,Action Games,"47,113",Mixed,"19 Oct, 2018",The Farm 51,"FPS,Multiplayer,Shooter,Military,Tactical,War,Modern,PvP,Action,Team-Based,Combat,Realistic,First-Person,Character Customization,Gun Customization,Early Access,Atmospheric,Physics,3D,Vehicular Combat",779 pуб.,,win 
Foxhole,Action Games,"24,556",Very Positive,"28 Sep, 2022",Siege Camp,"Massively Multiplayer,Wargame,Military,World War II,Base Building,Open World,Sandbox,War,Top-Down,PvP,Tactical,Team-Based,Multiplayer,Top-Down Shooter,Strategy,Crafting,Co-op,Shooter,Action,RPG",515 pуб.,,win 
Call to Arms - Gates of Hell: Scorched Earth,"Strategy Games,Call to Arms - Gates of Hell: Ostfront,Downloadable Content",178,Mostly Positive,"18 Nov, 2022",Barbedwire Studios,"Strategy,Action,Simulation,RTS,PvE,Level Editor,PvP,Real Time Tactics,Online Co-Op,Multiplayer,Historical,World War II,Military,Realistic,Singleplayer",259 pуб.,"1899,20 pуб.",win 
Europa Universalis IV,"Strategy Games,Europa Universalis - Official Franchise","76,700",Very Positive,"13 Aug, 2013",Paradox Development Studio,"Grand Strategy,Historical,Simulation,Alternate History,Economy,Military,Strategy,Sandbox,Political,Diplomacy,Real-Time with Pause,Moddable,Replay Value,Nonlinear,Management,Singleplayer,Multiplayer,Resource Management,Education,Great Soundtrack",699 pуб.,"1742,40 pуб.",mac win linux
Counter-Strike: Source,Action Games,"96,869",Overwhelmingly Positive,"1 Nov, 2004",Valve,"Shooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,eSports,Military,War,Strategy,Moddable,Singleplayer,Difficult,Atmospheric,Survival,Simulation,Sandbox",385 pуб.,"2240,10 pуб.",mac win linux
War Robots,Action Games,"15,031",Mixed,"5 Apr, 2018",Pixonic,"Free to Play,Action,Robots,Multiplayer,Shooter,Mechs,FPS,PvP,Massively Multiplayer,Controller,First-Person,War,Third Person,Third-Person Shooter,Co-op,Strategy,Singleplayer,RPG,MMORPG,Open World",Free To Play,,win 
Insurgency: Sandstorm,Action Games,"79,393",Very Positive,"12 Dec, 2018",New World Interactive,"FPS,Realistic,Shooter,Military,Multiplayer,Tactical,Action,First-Person,Online Co-Op,War,Co-op,Violent,Gore,Atmospheric,Difficult,Simulation,Open World,Massively Multiplayer,Indie,Choices Matter",1099 pуб.,"2179,98 pуб.",win 
Killing Floor 2,"Action Games,Tripwire Interactive LLC Franchise","73,025",Very Positive,"18 Nov, 2016",Tripwire Interactive,"Zombies,Co-op,Gore,FPS,Multiplayer,Survival,Action,Online Co-Op,Horror,Shooter,First-Person,Team-Based,Survival Horror,Great Soundtrack,Atmospheric,Difficult,Singleplayer,Early Access,Indie,Blood",1392 pуб.,224 pуб.,win 
Bloons TD 5 - Military Bomb Tower Skin,"Action Games,Bloons TD 5,Downloadable Content",10,Mostly Positive,"29 Aug, 2017",Ninja Kiwi,"Strategy,Action",61 pуб.,,mac win 
Combat Air Patrol 2: Military Flight Simulator,Simulation Games,292,Mixed,"6 Jun, 2016",Sim155 Limited,"Early Access,VR,Flight,Simulation,Military,Strategy,Action,War,Realistic,Shooter,Open World,First-Person,Immersive Sim,Vehicular Combat,Tactical,Wargame,Jet,Naval,Combat,Tanks",499 pуб.,,win 
Crusader Kings II: Military Orders Unit Pack,"Strategy Games,Crusader Kings Official Franchise,Crusader Kings II,Downloadable Content",18,Mixed,"18 Nov, 2013",Paradox Development Studio,"Strategy,RPG,Simulation",49 pуб.,"5917,60 pуб.",mac win linux
Farthest Frontier,Strategy Games,"9,388",Very Positive,"9 Aug, 2022",Crate Entertainment,"Early Access,City Builder,Survival,Colony Sim,Strategy,Building,Military,Simulation,Sandbox,Singleplayer,Resource Management,RTS,Management,Realistic,Old School,Immersive Sim,Open World Survival Craft,3D,Alternate History,4X",515 pуб.,"862,75 pуб.",win 
Military Airfield - Donation DLC,"Action Games,Polygon Art Franchise,Beyond Enemy Lines,Downloadable Content",1,1 user reviews,"7 Mar, 2017",Polygon Art,"Action,Indie,War,Tactical,Wargame,Cold War,Difficult",59 pуб.,"638,10 pуб.",win 
Call to Arms - Gates of Hell: Ostfront,Strategy Games,"6,877",Very Positive,"11 Jun, 2021",Barbedwire Studios,"World War II,Strategy,Real Time Tactics,RTS,Historical,Realistic,War,Level Editor,Singleplayer,PvE,PvP,Multiplayer,Co-op,Military,Top-Down,Online Co-Op,Wargame,Action,Tanks,Difficult",658 pуб.,"1899,20 pуб.",win 
GameGuru - Military Pack,"Animation & Modeling,GameGuru Classic,Downloadable Content",4,4 user reviews,"11 Sep, 2019",TheGameCreators,"Design & Illustration,Utilities,Animation & Modeling,Education,Software Training,Game Development",515 pуб.,"6581,20 pуб.",win 
Warp Drive,Racing Games,36,Mixed,"27 Nov, 2020",Supergonk,"Racing,Arcade,Stylized,Colorful,Co-op,4 Player Local,Split Screen,Driving,Combat Racing,3D,Comic Book,Old School,Sci-fi,Vehicular Combat,Local Co-Op,Local Multiplayer,Multiplayer,Singleplayer,Co-op Campaign,Sports",465 pуб.,,mac win 
Freedom Drive,Action Games,10,Positive,"28 Oct, 2022",Bucket of Games,"Action Roguelike,Bullet Hell,Shoot 'Em Up,Top-Down Shooter,PvE,2D,Top-Down,Tanks,Controller,Vehicular Combat,Action,Casual,Pixel Graphics,Score Attack,Destruction,Retro,Combat,Singleplayer,Early Access,Rock Music",133 pуб.,,win 
Dimension Drive,"Indie Games,2Awesome Studio Franchise",31,Positive,"7 Dec, 2017",2Awesome Studio,"Shoot 'Em Up,Local Co-Op,Anime,Split Screen,Indie,Action,Arcade,Female Protagonist,Local Multiplayer,Shooter,Top-Down Shooter,Comic Book,2D,Top-Down,Score Attack,Story Rich,Co-op,Multiplayer,Singleplayer,Real-Time",289 pуб.,"533,99 pуб.",mac win linux
Neon Drive,Action Games,"1,523",Very Positive,"12 May, 2016",Fraoula,"1980s,Retro,Automobile Sim,Great Soundtrack,Indie,Rhythm,Action,Arcade,Music,Racing,Cyberpunk,Difficult,Driving,Singleplayer,Atmospheric,Runner",249 pуб.,"350,40 pуб.",mac win linux
Pineview Drive,Adventure Games,306,Mixed,"31 Jul, 2014",VIS-Games,"Horror,Adventure,Indie,Action,Atmospheric,Walking Simulator,First-Person,Psychological Horror",419 pуб.,"294,80 pуб.",win linux
Warface,Action Games,"79,769",Mixed,"12 Apr, 2012",MY.GAMES,"Free to Play,Realistic,FPS,Multiplayer,Shooter,Action,PvP,Co-op,Gun Customization,Character Customization,First-Person,Tactical,Online Co-Op,Strategy,Massively Multiplayer,Military,Team-Based,Moddable,Adventure,Class-Based",Free To Play,,win 
Kazakh Drive,Simulation Games,184,Very Positive,"18 Oct, 2020",Mehsoft,"Simulation,Singleplayer,Retro,Automobile Sim,Hand-drawn,Racing,2.5D,Driving,Stylized,Minimalist,First-Person,1990's,Memes,Old School,Parody,Comedy,Score Attack,Indie",100 pуб.,,win 
Blind Drive,Indie Games,173,Very Positive,"10 Mar, 2021",Lo-Fi People,"Action,Arcade,Immersive,Story Rich,Short,Funny,Action-Adventure,Dark Humor,Driving,Thriller,Narration,Minimalist,Stylized,Atmospheric,Fast-Paced,Singleplayer,Indie,Experimental,Casual,Racing",259 pуб.,"306,90 pуб.",mac win 
Drive,Racing Games,15,Mixed,"23 Jul, 2021",Novus Res,"Racing,VR,Driving,Arcade,Automobile Sim,Immersive Sim,Simulation,Physics,6DOF,Combat Racing,Real Time Tactics,Sports,First-Person,Funny,Relaxing,3D,Realistic,Atmospheric,Old School,Retro",415 pуб.,,win 
Aeon Drive,Indie Games,56,Mostly Positive,"30 Sep, 2021",2Awesome Studio,"Precision Platformer,Difficult,Pixel Graphics,Platformer,Indie,2D Platformer,Female Protagonist,2D,Singleplayer,Story Rich,Adventure,Cute,Action,Puzzle Platformer,Atmospheric,Retro,Side Scroller,Exploration,LGBTQ+,Action-Adventure",349 pуб.,,mac win linux
The Long Drive,Indie Games,"14,162",Very Positive,"25 Sep, 2019",Genesz,"Automobile Sim,Open World,Driving,Multiplayer,Survival,Post-apocalyptic,Exploration,First-Person,Singleplayer,Adventure,Simulation,Early Access,Horror,Indie,Realistic,Sexual Content,Action,Racing,Shooter,FPS",289 pуб.,,win 
OutDrive,Racing Games,"3,496",Mostly Positive,"22 Feb, 2016",DNVR Prod,"Racing,Indie,Casual,Retro,1980s,Music,Great Soundtrack,Arcade,Singleplayer,Cyberpunk,Driving",79 pуб.,"90,35 pуб.",win 
Drive!Drive!Drive!,Racing Games,19,Mixed,"13 Dec, 2016",different cloth,"Automobile Sim,Racing,Action,Indie,Driving,Multiplayer",259 pуб.,,mac win 
NITE Team 4 - Military Hacking Division,Simulation Games,855,Very Positive,"26 Feb, 2019",Alice & Smith,"Hacking,Simulation,Strategy,Indie,Adventure,Military,Puzzle,Multiplayer,Singleplayer",619 pуб.,"1424,25 pуб.",mac win 
Victoria 3,"Strategy Games,Victoria - Official Franchise","16,782",Mixed,"25 Oct, 2022",Paradox Development Studio,"Grand Strategy,Economy,Strategy,Historical,Simulation,Management,Alternate History,Diplomacy,Political,Singleplayer,Real-Time with Pause,Politics,Multiplayer,Moddable,Sandbox,Political Sim,Resource Management,Military,Replay Value,Capitalism",2499 pуб.,,mac win linux
Tiny Town VR - Military Pack,"Casual Games,Tiny Town VR,Downloadable Content",15,Positive,"30 Jul, 2018",Lumbernauts,"Indie,Casual,Simulation",Free To Play,,win 
Tropico 4: Junta Military DLC,"Simulation Games,Tropico Official Franchise,Tropico 4,Downloadable Content",24,Mostly Positive,"3 Nov, 2011",Haemimont Games,"Strategy,Simulation",179 pуб.,"11270,30 pуб.",win 
Knights of Honor II: Sovereign,Strategy Games,410,Mixed,"6 Dec, 2022",Black Sea Games,"Strategy,Simulation,RTS,Medieval,Grand Strategy,Historical",246 pуб.,1759 pуб.,win 
古代从军/Ancient military,Free to Play Games,7,7 user reviews,"10 Mar, 2022",猴子独立工作室,"Free to Play,Casual,Action,RPG,3D Fighter,RTS,Multiplayer,Historical,Military,3D Platformer,Massively Multiplayer,3D,Hack and Slash,2D,PvP,Early Access",Free To Play,,win 
Arma 2: Private Military Company,"Action Games,Bohemia Interactive Franchise,Arma 2: Operation Arrowhead,Downloadable Content",278,Very Positive,"30 Nov, 2010",Bohemia Interactive,"Simulation,Action,Strategy,Military,Tactical,Realistic,FPS,Open World,Shooter",199 pуб.,"7166,35 pуб.",win 
Squad,"Action Games,Offworld Industries Franchise","88,894",Very Positive,"23 Sep, 2020",Offworld Industries,"Military,Realistic,FPS,Multiplayer,Team-Based,Shooter,Tactical,War,Action,First-Person,Massively Multiplayer,Modern,Strategy,Base Building,Simulation,Wargame,Open World,Atmospheric,Immersive Sim,PvP",1099 pуб.,"1460,30 pуб.",win 
Hearts of Iron IV,"Strategy Games,Hearts of Iron - Official Franchise","150,835",Very Positive,"6 Jun, 2016",Paradox Development Studio,"Strategy,World War II,Grand Strategy,War,Historical,Military,Alternate History,Multiplayer,Simulation,Tactical,Real-Time with Pause,Singleplayer,RTS,Diplomacy,Sandbox,Co-op,Great Soundtrack,Open World,Action,Casual",699 pуб.,"1558,80 pуб.",mac win linux
